IDS_CLIENT_HELP_INC_000000	基本操作法
IDS_CLIENT_HELP_INC_000281	千钧一发
IDS_CLIENT_HELP_INC_000282	角色的HP下降特定的数值的时候，自动恢复所损的HP以避免死亡。
IDS_CLIENT_HELP_INC_000283	风精之舞
IDS_CLIENT_HELP_INC_000284	藉助精灵的力量，使移动速度变快。
IDS_CLIENT_HELP_INC_000285	风精的祝福
IDS_CLIENT_HELP_INC_000286	让对方的攻击速度上升。
IDS_CLIENT_HELP_INC_000287	灵敏术
IDS_CLIENT_HELP_INC_000288	藉助精灵的力量，提升回避率。
IDS_CLIENT_HELP_INC_000289	敏捷术
IDS_CLIENT_HELP_INC_000290	提高对方的敏捷。
IDS_CLIENT_HELP_INC_000291	心灵点滴
IDS_CLIENT_HELP_INC_000292	提升对方的智力。
IDS_CLIENT_HELP_INC_000293	强化术
IDS_CLIENT_HELP_INC_000294	提升施展对象的体力。
IDS_CLIENT_HELP_INC_000295	祝福的神力
IDS_CLIENT_HELP_INC_000296	提升施展对象的力量。
IDS_CLIENT_HELP_INC_000297	第三眼
IDS_CLIENT_HELP_INC_000298	藉助精灵的力量，提高命中率。
IDS_CLIENT_HELP_INC_000299	神拳术
IDS_CLIENT_HELP_INC_000300	将所有精神集中在力量上后，用力挥出去的拳套技能。
IDS_CLIENT_HELP_INC_000301	石拳重击
IDS_CLIENT_HELP_INC_000302	藉助精灵的力量，找出敌人的弱点攻击并以一定的机率击晕。
IDS_CLIENT_HELP_INC_000303	爆震术
IDS_CLIENT_HELP_INC_000304	使用拳套用力敲打地面，使自己附近的敌人受到伤害。
IDS_CLIENT_HELP_INC_000305	大怒神
IDS_CLIENT_HELP_INC_000306	藉助精灵的力量瞬间爆发出威力。
IDS_CLIENT_HELP_INC_000307	魔法使
IDS_CLIENT_HELP_INC_000308	他所施展出来的魔法，往往都会让人感到非常的绚丽。
IDS_CLIENT_HELP_INC_000309	
IDS_CLIENT_HELP_INC_000310	念力球
IDS_CLIENT_HELP_INC_000311	集中精神力发动无属性攻击。
IDS_CLIENT_HELP_INC_000312	风之传送
IDS_CLIENT_HELP_INC_000313	使用魔法之风瞬间移动到指定的地点。(指标范围内)
IDS_CLIENT_HELP_INC_000314	火焰回旋
IDS_CLIENT_HELP_INC_000315	施展火属性的魔法回旋刀刃。
IDS_CLIENT_HELP_INC_000316	自体焚烧
IDS_CLIENT_HELP_INC_000317	召唤热气来持续伤害对方。
IDS_CLIENT_HELP_INC_000318	火神之怒
IDS_CLIENT_HELP_INC_000319	发射强化的火球使敌人变成火烧状态。
IDS_CLIENT_HELP_INC_000320	疾风之刃
IDS_CLIENT_HELP_INC_000321	施展风属性魔法刀刃。
IDS_CLIENT_HELP_INC_000322	飓风爆
IDS_CLIENT_HELP_INC_000323	施展强大飓风，将对方击退。
IDS_CLIENT_HELP_INC_000324	风刃之剑
IDS_CLIENT_HELP_INC_000325	利用锐利的风刃来贯通敌人的身体。
IDS_CLIENT_HELP_INC_000326	冰刃
IDS_CLIENT_HELP_INC_000327	藉助水精灵的力量攻击敌人。
IDS_CLIENT_HELP_INC_000328	水球术
IDS_CLIENT_HELP_INC_000329	收集空气中的水气做成水球后发射。按照技能等级可发射的数量不一样。
IDS_CLIENT_HELP_INC_000330	水龙之柱
IDS_CLIENT_HELP_INC_000331	敌人的身体会持续维持被淋湿的状态。
IDS_CLIENT_HELP_INC_000332	电光球
IDS_CLIENT_HELP_INC_000333	藉助雷精灵的力量攻击敌人。
IDS_CLIENT_HELP_INC_000334	高压电光球
IDS_CLIENT_HELP_INC_000335	将雷电压缩成球体后发射，并让敌人受到强烈的伤害。
IDS_CLIENT_HELP_INC_000336	雷击术
IDS_CLIENT_HELP_INC_000337	看起来与一般攻击一样，但是施展后会让敌人的身体持续被雷电包围。
IDS_CLIENT_HELP_INC_000338	大地的惩罚
IDS_CLIENT_HELP_INC_000339	藉助大地精灵的力量攻击敌人，一定机率内将敌人击晕。
IDS_CLIENT_HELP_INC_000340	石神降临
IDS_CLIENT_HELP_INC_000341	将巨大的石头并丢向敌人，被打到的敌人身体会粉碎。
IDS_CLIENT_HELP_INC_000342	大地之手
IDS_CLIENT_HELP_INC_000343	召唤大地精灵，并让对方的动作封锁起来。
IDS_CLIENT_HELP_INC_000344	神秘新职业２
IDS_CLIENT_HELP_INC_000345	目前尚未开放，敬请期待。
IDS_CLIENT_HELP_INC_000346	骑士
IDS_CLIENT_HELP_INC_000347	主要使用双手武器，并拥有强力的攻击力、体力、与防御力。虽然攻击速度慢，但是在双手武器的威力却不可忽视。
IDS_CLIENT_HELP_INC_000348	死风狂击
IDS_CLIENT_HELP_INC_000349	将剑放在前方快速冲刺后，再进行抛击。
IDS_CLIENT_HELP_INC_000350	大地爆碎剑
IDS_CLIENT_HELP_INC_000351	用强大的力量将剑重重的劈在敌人的身上，使敌人受到重大的伤害。
IDS_CLIENT_HELP_INC_000352	致命一击
IDS_CLIENT_HELP_INC_000353	让敌人受到重大伤害并引发大量出血，有一定机率的能让敌人降低防御力。
IDS_CLIENT_HELP_INC_000354	护卫
IDS_CLIENT_HELP_INC_000355	降低攻击力来提高防御力。
IDS_CLIENT_HELP_INC_000356	怒气
IDS_CLIENT_HELP_INC_000357	限定时间内，让防御力与命中率降低来大幅提升攻击力与HP。
IDS_CLIENT_HELP_INC_000358	血债血偿
IDS_CLIENT_HELP_INC_000359	将所受到的伤害，还击回去。
IDS_CLIENT_HELP_INC_000360	横风斩
IDS_CLIENT_HELP_INC_000361	用武器进行平扫攻击，并让敌人退后。
IDS_CLIENT_HELP_INC_000362	暗杀者
IDS_CLIENT_HELP_INC_000363	"将勇者的武器装到两只手,用很快的速度攻击敌人。"
IDS_CLIENT_HELP_INC_000364	光速突刺
IDS_CLIENT_HELP_INC_000365	用光速贯通敌人身体，并让敌人受到严重伤害。
IDS_CLIENT_HELP_INC_000366	暗杀者之舞
IDS_CLIENT_HELP_INC_000367	将双刀展开并对周围的敌人进行攻击。
IDS_CLIENT_HELP_INC_000368	千光刃
IDS_CLIENT_HELP_INC_000369	冲刺的同时进行快速的连发攻击，最后所显示的伤害值为累加的总伤害值。
IDS_CLIENT_HELP_INC_000370	鬼斧斩
IDS_CLIENT_HELP_INC_000371	跳跃至敌人面前使用双斧用力砍劈，使敌人受到强大的伤害及暗黑效果。
IDS_CLIENT_HELP_INC_000372	爆碎点刺
IDS_CLIENT_HELP_INC_000373	成功时，敌人防具会受到损坏。
IDS_CLIENT_HELP_INC_000374	速度集中
IDS_CLIENT_HELP_INC_000375	限制时间内，牺牲所有其他可使用的技能来提高攻击速度。（所有技能暂时无法使用）
IDS_CLIENT_HELP_INC_000376	灭
IDS_CLIENT_HELP_INC_000377	暗杀者最强技能！将所有的气集中在武器后，用尽全力攻击敌人。
IDS_CLIENT_HELP_INC_000378	稻妻二刀斩
IDS_CLIENT_HELP_INC_000379	交替著武器，并制造出强大的伤害。
IDS_CLIENT_HELP_INC_000380	操偶师
IDS_CLIENT_HELP_INC_000381	强化溜刃技能的职业，是杂技师的二转职业之一。
IDS_CLIENT_HELP_INC_000382	
IDS_CLIENT_HELP_INC_000383	爆击之舞
IDS_CLIENT_HELP_INC_000384	使用溜刃增加爆击率。
IDS_CLIENT_HELP_INC_000385	毒性溜溜
IDS_CLIENT_HELP_INC_000386	在溜刃上追加毒属性使攻击力提升，有一定机率使敌人中毒。
IDS_CLIENT_HELP_INC_000387	出血
IDS_CLIENT_HELP_INC_000388	在溜刃上追加致命的属性，使敌人受到持续性的伤害。
IDS_CLIENT_HELP_INC_000389	吸血溜溜
IDS_CLIENT_HELP_INC_000390	在溜刃上追加吸血的效果，并且提升攻击力，可追加吸收对方HP的效果。
IDS_CLIENT_HELP_INC_000391	背后突袭
IDS_CLIENT_HELP_INC_000392	在敌人的背后使用此技能，施展后可机率性的使敌人短暂晕眩。
IDS_CLIENT_HELP_INC_000393	砸钱攻击
IDS_CLIENT_HELP_INC_000394	无视防御力的进行攻击。打击出多少伤害值，就必须付出相同数值的金币。
IDS_CLIENT_HELP_INC_000395	逃脱
IDS_CLIENT_HELP_INC_000396	解除锁住自己行动的状态。
IDS_CLIENT_HELP_INC_000397	投魂一击
IDS_CLIENT_HELP_INC_000398	使用幻影术的状态之下，解除幻影术的同时使用才可施展成功。有爆击的伤害力，必且在一定机率下，使出双倍攻击。
IDS_CLIENT_HELP_INC_000399	浪人
IDS_CLIENT_HELP_INC_000400	浪人使用弓箭，主要为远距离攻击. 
IDS_CLIENT_HELP_INC_000401	
IDS_CLIENT_HELP_INC_000402	光速射击
IDS_CLIENT_HELP_INC_000403	限制时间内，使射击弓箭的速度变快。
IDS_CLIENT_HELP_INC_000404	冰箭
IDS_CLIENT_HELP_INC_000405	让周围的所有怪物受到寒冷箭气伤害，并附带使敌人速度迟缓的效果。
IDS_CLIENT_HELP_INC_000406	圣火之箭
IDS_CLIENT_HELP_INC_000407	区域攻击法术，火龙吐息般的爆炸性威力，使敌人持续受到火的伤害。
IDS_CLIENT_HELP_INC_000408	箭矢贯通
IDS_CLIENT_HELP_INC_000409	贯通目标，并让纵向的所有敌人都受到伤害。
IDS_CLIENT_HELP_INC_000410	毒箭
IDS_CLIENT_HELP_INC_000411	让对方感染毒，并且持续的受到伤害。
IDS_CLIENT_HELP_INC_000412	沉默之箭
IDS_CLIENT_HELP_INC_000413	"进行强力的攻击，并且追加沉默的效果,中了沉默状态就无法使用魔法。"
IDS_CLIENT_HELP_INC_000414	自然之道
IDS_CLIENT_HELP_INC_000415	提升属性魔法的抵抗力。
IDS_CLIENT_HELP_INC_000416	三连矢
IDS_CLIENT_HELP_INC_000417	一次发射三支箭，使威力增强。
IDS_CLIENT_HELP_INC_000418	守护者
IDS_CLIENT_HELP_INC_000419	可发挥最高辅助技能的职业。与一转的神职者辅助技能不同在於二转后的技能可针对多数人施展，是个在队伍中不可或缺的辅助伙伴！
IDS_CLIENT_HELP_INC_000420	攻击强化
IDS_CLIENT_HELP_INC_000421	"给自己或我军施展防御技能的话,可提升物理防御力。"
IDS_CLIENT_HELP_INC_000422	天神之盾
IDS_CLIENT_HELP_INC_000423	魔法防御力提升。
IDS_CLIENT_HELP_INC_000424	天神之戒
IDS_CLIENT_HELP_INC_000425	对敌人施展一次，即可让敌人受到的损害值变成两倍。
IDS_CLIENT_HELP_INC_000426	攻击强化
IDS_CLIENT_HELP_INC_000427	物理攻击力提升。
IDS_CLIENT_HELP_INC_000428	战士之歌
IDS_CLIENT_HELP_INC_000429	吟唱战歌，让有效范围内的队友变成狂战士。影响到角色的攻击速度与命中力而攻击力。
IDS_CLIENT_HELP_INC_000430	众神的守护
IDS_CLIENT_HELP_INC_000431	解除所有异常状态。
IDS_CLIENT_HELP_INC_000432	祝福的洗礼
IDS_CLIENT_HELP_INC_000433	生命之水降临在每个队伍成员的身上，使所有的队友回复大量的HP。
IDS_CLIENT_HELP_INC_000434	神圣领域
IDS_CLIENT_HELP_INC_000435	设一个神圣的结界，让进入结界的怪物持续受到伤害。
IDS_CLIENT_HELP_INC_000436	爆咒师
IDS_CLIENT_HELP_INC_000437	"利用格斗型武器展开快速攻击的职业，并且可施展咒术来弱化敌人。 
若加上神职者时期的辅助技能来强化自己的能力，将会是在队伍上的最佳打手。"
IDS_CLIENT_HELP_INC_000438	火龙拳
IDS_CLIENT_HELP_INC_000439	拳头冒出火花，同时往前冲刺进行强力的攻击。
IDS_CLIENT_HELP_INC_000440	血之狂舞
IDS_CLIENT_HELP_INC_000441	让敌人严重出血，并有持续失血的效果。
IDS_CLIENT_HELP_INC_000442	横冲直撞
IDS_CLIENT_HELP_INC_000443	拳头冒出火花，同时往前冲刺进行强力的攻击。
IDS_CLIENT_HELP_INC_000444	战力强化
IDS_CLIENT_HELP_INC_000445	使用拳套系列的武器，限定时间内提升攻击力。
IDS_CLIENT_HELP_INC_000446	挑衅
IDS_CLIENT_HELP_INC_000447	成功时，可将敌人的防御力降低，但却会提升攻击力。
IDS_CLIENT_HELP_INC_000448	波动拳
IDS_CLIENT_HELP_INC_000449	将自己周围的怪物，利用气的波动进行攻击。
IDS_CLIENT_HELP_INC_000450	百裂拳
IDS_CLIENT_HELP_INC_000451	依照等级慢慢的增加打击数，其威力也会跟着增加。
IDS_CLIENT_HELP_INC_000452	罗煞狂爆拳
IDS_CLIENT_HELP_INC_000453	消耗所有的MP来制造最大的伤害。
IDS_CLIENT_HELP_INC_000454	研术者
IDS_CLIENT_HELP_INC_000455	此职业针对属性的魔法不停的进行研究，并且能够学会威力最大的属性魔法! 此职业在剧团中将会扮演攻击力最强大的角色。
IDS_CLIENT_HELP_INC_000456	火凤凰
IDS_CLIENT_HELP_INC_000457	召唤火鸟对敌人进行火属性攻击
IDS_CLIENT_HELP_INC_000458	火龙吐息
IDS_CLIENT_HELP_INC_000459	限定时间内，让周围变成火海，使所有范围内的敌人持续受到伤害。
IDS_CLIENT_HELP_INC_000460	火属性研究
IDS_CLIENT_HELP_INC_000461	提升火属性的攻击力。
IDS_CLIENT_HELP_INC_000462	石枪术
IDS_CLIENT_HELP_INC_000463	将锐力的石枪投向敌人。
IDS_CLIENT_HELP_INC_000464	天摇地动
IDS_CLIENT_HELP_INC_000465	在一定范围内制造大地震，使敌人受到伤害。
IDS_CLIENT_HELP_INC_000466	地属性研究
IDS_CLIENT_HELP_INC_000467	提升地属性的攻击力。
IDS_CLIENT_HELP_INC_000468	真空之击
IDS_CLIENT_HELP_INC_000469	把对方的周围变成真空状态后，进行风属性攻击。
IDS_CLIENT_HELP_INC_000470	狂风怒吼
IDS_CLIENT_HELP_INC_000471	"有效时间内, 将特定地区变成强风区域, 使所有该区范围内的敌人, 移动速度变慢"
IDS_CLIENT_HELP_INC_000472	风属性研究
IDS_CLIENT_HELP_INC_000473	提升风属性的攻击力。
IDS_CLIENT_HELP_INC_000474	雷鸣落震
IDS_CLIENT_HELP_INC_000475	施展强力的雷震，让怪物受到强大的伤害
IDS_CLIENT_HELP_INC_000476	雷鸣落震
IDS_CLIENT_HELP_INC_000477	"召唤出强烈的电磁场, 使周围所有的怪物受到攻击, 并引起麻痹使防御力降低。"
IDS_CLIENT_HELP_INC_000478	雷属性研究
IDS_CLIENT_HELP_INC_000479	提升雷属性的攻击力
IDS_CLIENT_HELP_INC_000480	冰剑术
IDS_CLIENT_HELP_INC_000481	将沙鱼造型的冰块，投向对方进行水攻击。
IDS_CLIENT_HELP_INC_000482	毒云密布
IDS_CLIENT_HELP_INC_000483	召唤毒云，并使用风与毒进行攻击。
IDS_CLIENT_HELP_INC_000484	水属性研究
IDS_CLIENT_HELP_INC_000485	提升水属性的攻击力。
IDS_CLIENT_HELP_INC_000486	红石星尘
IDS_CLIENT_HELP_INC_000487	召唤陨石来攻击周围所有的敌人，使敌人受到火与地属性的攻击。
IDS_CLIENT_HELP_INC_000488	雷风狂袭
IDS_CLIENT_HELP_INC_000489	让周围所有的敌人受到风与雷的攻击
IDS_CLIENT_HELP_INC_000490	沙尘风暴
IDS_CLIENT_HELP_INC_000491	"引发沙暴,让周围所有的敌人受到风与雷的攻击。"
IDS_CLIENT_HELP_INC_000492	雪山崩塌
IDS_CLIENT_HELP_INC_000493	引发雪崩，使周围所有的敌人受到水与地属性的攻击，并有昏眩的效果。
IDS_CLIENT_HELP_INC_000494	念力师
IDS_CLIENT_HELP_INC_000495	"此职业最大的特征是使用魔法类的攻击,使敌人精神受到很大的攻击"
IDS_CLIENT_HELP_INC_000496	心灵恐惧
IDS_CLIENT_HELP_INC_000497	召唤出恶魔的幻影，使敌人心发恐慌来减弱攻击力。
IDS_CLIENT_HELP_INC_000498	钉影术
IDS_CLIENT_HELP_INC_000499	扰乱敌人的眼睛，使敌人暂时无法移动。
IDS_CLIENT_HELP_INC_000500	念力爆炸
IDS_CLIENT_HELP_INC_000501	将精神力瞬间爆发后，发出强力的攻击。
IDS_CLIENT_HELP_INC_000502	幻影冥魅
IDS_CLIENT_HELP_INC_000503	让敌人的精神崩溃，并会依照敌人的MP来计算敌人受到的伤害。
IDS_CLIENT_HELP_INC_000504	念力墙
IDS_CLIENT_HELP_INC_000505	利用强大的念力，制造出一面隐形墙，使敌人无法靠近。
IDS_CLIENT_HELP_INC_000506	降头魔咒
IDS_CLIENT_HELP_INC_000507	针对魔法或技能的攻击，将会以一定的机率把伤害值用两倍的方式反击回去。
IDS_CLIENT_HELP_INC_000508	命运轮盘
IDS_CLIENT_HELP_INC_000509	成功发动命中敌人，可造成严重伤害，但失败时将会让自己受到伤害。
IDS_CLIENT_HELP_INC_000510	绝对结界
IDS_CLIENT_HELP_INC_000511	将敌人拉进自己的精神世界，使所有进入结界的敌人受到严重的伤害。
IDS_CLIENT_HELP_INC_000512	能力值的说明
IDS_CLIENT_HELP_INC_000513	接下来为您说明关於角色的情报与各种能力值。
IDS_CLIENT_HELP_INC_000514	名称
IDS_CLIENT_HELP_INC_000515	显示创造角色时，所取的名称。
IDS_CLIENT_HELP_INC_000516	职业
IDS_CLIENT_HELP_INC_000517	显示角色目前的职业。
IDS_CLIENT_HELP_INC_000518	等级
IDS_CLIENT_HELP_INC_000519	等级会透过角色经验值（EXP）的累积而上升。而等级上升时，可获得成长点数（GP），您可以利用GP点数来提升能力值。
IDS_CLIENT_HELP_INC_000520	
IDS_CLIENT_HELP_INC_000521	
IDS_CLIENT_HELP_INC_000522	
IDS_CLIENT_HELP_INC_000523	
IDS_CLIENT_HELP_INC_000524	力量
IDS_CLIENT_HELP_INC_000525	增加法杖以外的武器攻击力。
IDS_CLIENT_HELP_INC_000526	体力
IDS_CLIENT_HELP_INC_000527	提升HP(生命值)、FP(体力值)、防御力及FP的恢复量。
IDS_CLIENT_HELP_INC_000528	敏捷
IDS_CLIENT_HELP_INC_000529	影响到角色的命中率、回避率、攻击速度、暴击机率及弓箭系列武器的攻击力。
IDS_CLIENT_HELP_INC_000530	智力
IDS_CLIENT_HELP_INC_000531	提升魔法攻击力、魔法防御力、MP的最大量，MP回复量。
IDS_CLIENT_HELP_INC_000532	HP(生命力)
IDS_CLIENT_HELP_INC_000533	角色的生命耗尽时，会无法继续进行各种活动。您可利用各种食物及药丸来恢复HP。
IDS_CLIENT_HELP_INC_000534	MP(精神力)
IDS_CLIENT_HELP_INC_000535	使用魔法时必要的数值。可使用魔力多来恢复MP。
IDS_CLIENT_HELP_INC_000536	FP(持久力)
IDS_CLIENT_HELP_INC_000537	使用技能后，出现的疲劳指数。可透过适当的休息渐渐的恢复疲劳。或是使用精力多来恢复FP。
IDS_CLIENT_HELP_INC_000538	EXP(角色经验值)
IDS_CLIENT_HELP_INC_000539	角色要提升等级时，必须累积经验值。您可透过战斗与解任务来获得经验值。
IDS_CLIENT_HELP_INC_000540	SXP(技能经验值)
IDS_CLIENT_HELP_INC_000541	"技能、执照、活动等等… 需要吸收经验值时，可直接吸取这里的经验值。与EXP一起累绩，该SXP达到100%的话,可获得技能点数1。"
IDS_CLIENT_HELP_INC_000542	GP(成长点数)
IDS_CLIENT_HELP_INC_000543	可提升力量、体力、敏捷、智力等各种能力值的点数。等级上升时，可获的一定的点数。
IDS_CLIENT_HELP_INC_000544	追加能力值
IDS_CLIENT_HELP_INC_000545	与角色战斗时，有直接关连的数值。
IDS_CLIENT_HELP_INC_000546	攻击力
IDS_CLIENT_HELP_INC_000547	将目前所装备的武器与角色的能力值加总后的攻击数值。
IDS_CLIENT_HELP_INC_000548	防御力
IDS_CLIENT_HELP_INC_000549	将目前所装备的防具与角色的能力值加总后的防御数值。
IDS_CLIENT_HELP_INC_000550	暴击率
IDS_CLIENT_HELP_INC_000551	进行战斗时，可发生暴击攻击的数值。
IDS_CLIENT_HELP_INC_000552	攻击速度
IDS_CLIENT_HELP_INC_000553	"战斗时, 会以多少速度进行攻击的数值"
IDS_CLIENT_HELP_INC_000554	抵抗力
IDS_CLIENT_HELP_INC_000555	可减少魔法伤害的数值。
IDS_CLIENT_HELP_INC_000556	属性
IDS_CLIENT_HELP_INC_000557	Flyff中共有五种属性，各种属性都有其强弱的对比。\n若使用克制的属性进行攻击时，或得到很强的攻击效果，但是若使用被克的属性，效果就适得其反！
IDS_CLIENT_HELP_INC_000558	火属性
IDS_CLIENT_HELP_INC_000559	火属性克风，但却怕水！
IDS_CLIENT_HELP_INC_000560	水属性
IDS_CLIENT_HELP_INC_000561	水属性克火，但却怕雷！
IDS_CLIENT_HELP_INC_000562	雷属性
IDS_CLIENT_HELP_INC_000563	雷属性克水，但却怕地！
IDS_CLIENT_HELP_INC_000564	地属性
IDS_CLIENT_HELP_INC_000565	地属性克雷，但却怕风！
IDS_CLIENT_HELP_INC_000566	风属性
IDS_CLIENT_HELP_INC_000567	风属性克地，但怕火！
IDS_CLIENT_HELP_INC_000568	精练
IDS_CLIENT_HELP_INC_000569	精练可将特定的物品变的更强！各物品的属性及强化精炼一共分为10个阶段，而进行精炼时，必须拥有该阶段的精练道具。目前精练并无安全值，+1~+3失败会有ㄧ定的机率物品会消失。但是继续往上加上去并且精炼失败时，物品会自动消失，请务必注意！
IDS_CLIENT_HELP_INC_000570	属性精练
IDS_CLIENT_HELP_INC_000571	想要进行属性的精炼，必须拥有属性卡片。每一种物品都只能拥有一种属性，属性的精炼安全值为＋1～＋3。
IDS_CLIENT_HELP_INC_000572	火属性精练
IDS_CLIENT_HELP_INC_000573	使用火属性卡精练后，可让物品赋予火属性的能力。武器拥有火属性时，针对怕火的怪物会有提升的攻击威力！而防具拥有火属性时，可提升风属性攻击的抵抗力。
IDS_CLIENT_HELP_INC_000574	水属性精练
IDS_CLIENT_HELP_INC_000575	使用水属性卡精练后，可让物品赋予水属性的能力。武器拥有水属性时，针对怕水的怪物会有提升的攻击威力！而防具拥有水属性时，可提升火属性攻击的抵抗力。
IDS_CLIENT_HELP_INC_000576	雷属性精练
IDS_CLIENT_HELP_INC_000577	使用雷属性卡精练后，可让物品赋予雷属性的能力。武器拥有雷属性时，针对怕雷的怪物会有提升的攻击威力！而防具拥有雷属性时，可提升水属性攻击的抵抗力。
IDS_CLIENT_HELP_INC_000578	风属性精练
IDS_CLIENT_HELP_INC_000579	使用风属性卡精练后，可让物品赋予风属性的能力。武器拥有风属性时，针对怕风的怪物会有提升的攻击威力！而防具拥有风属性时，可提升地属性攻击的抵抗力。
IDS_CLIENT_HELP_INC_000580	地属性精练
IDS_CLIENT_HELP_INC_000581	使用地属性卡精练后，可让物品赋予地属性的能力。武器拥有地属性时，针对怕地属性的怪物会有提升的攻击威力！而防具拥有地属性时，可提升雷属性攻击的抵抗力。
IDS_CLIENT_HELP_INC_000582	一般精练
IDS_CLIENT_HELP_INC_000583	"一般精练就是将物品的基本能力值提高的精炼。基本上与上述的精炼是相同的。一般精练时用到的物品是分为能量骰子4,6,8,10,12。"
IDS_CLIENT_HELP_INC_000584	最终武器锻炼
IDS_CLIENT_HELP_INC_000585	+10精炼的特殊武器透过终极武器变换后，能够制作出更强的终极武器。此终极武器与目前精炼一样，最多可以精炼到+10。可以使用精练道具"闪亮的晶石"在武器上做精炼，如果失败时，道具就会被破坏掉。精炼数值在+6以上时，会产生能够合成各种能力宝石的插槽。最大可以在5个插槽上合成宝石道具。
IDS_CLIENT_HELP_INC_000586	
IDS_CLIENT_HELP_INC_000587	
IDS_CLIENT_HELP_INC_000588	
IDS_CLIENT_HELP_INC_000589	
IDS_CLIENT_HELP_INC_000590	
IDS_CLIENT_HELP_INC_000591	
IDS_CLIENT_HELP_INC_000592	
IDS_CLIENT_HELP_INC_000593	
IDS_CLIENT_HELP_INC_000594	
IDS_CLIENT_HELP_INC_000595	
IDS_CLIENT_HELP_INC_000596	建筑物
IDS_CLIENT_HELP_INC_000597	在Flyff内，提供著必要的各种物品，除此之外还有很多支援各种机能的建筑。
IDS_CLIENT_HELP_INC_000598	生命光塔
IDS_CLIENT_HELP_INC_000599	位在城镇广场的一座大型建筑物。此建筑物会将分散到四周的生命，召唤到此处复活。当您没有在战斗场附近的生命光柱储存复活点时，就会前往生命光塔复活。
IDS_CLIENT_HELP_INC_000600	生命光柱
IDS_CLIENT_HELP_INC_000601	与生命光塔相似，但是生命光柱分布在大陆各个地方，您可指定其中一处复活。
IDS_CLIENT_HELP_INC_000602	武器商店
IDS_CLIENT_HELP_INC_000603	贩卖见习生、勇者、神职者、杂技员等的1级职业及骑士、暗杀者、念力师、研术者、守护者、爆咒师、操偶师、浪人的武器。
IDS_CLIENT_HELP_INC_000604	防具店
IDS_CLIENT_HELP_INC_000605	贩卖见习生、勇者、神职者的防具装备。
IDS_CLIENT_HELP_INC_000606	魔法商店
IDS_CLIENT_HELP_INC_000607	贩卖魔法使的武器、防具、魔法相关的(魔力多等)物品。
IDS_CLIENT_HELP_INC_000608	餐饮店
IDS_CLIENT_HELP_INC_000609	贩卖帮助恢复生命力的各种食品。
IDS_CLIENT_HELP_INC_000610	精品店
IDS_CLIENT_HELP_INC_000611	贩卖的物品种类很多，有箭矢类、魔法用品类。
IDS_CLIENT_HELP_INC_000612	城镇服务处
IDS_CLIENT_HELP_INC_000613	这里处理个人仓库使用，公会仓库使用、和支票一样的道具1亿游戏金贩卖等的业务的地方。
IDS_CLIENT_HELP_INC_000614	航空站
IDS_CLIENT_HELP_INC_000615	贩卖飞行器与飞行物品的地方，您也可在这里得知一些飞行相关的知识。
IDS_CLIENT_HELP_INC_000616	对战
IDS_CLIENT_HELP_INC_000617	是指玩家之间的战斗。与一般无差别格斗的PK不同的是，玩家必须在竞赛场中，双方都答应对战后，才能进行的PvP(Player Vs Player)对战。
IDS_CLIENT_HELP_INC_000618	名誉
IDS_CLIENT_HELP_INC_000619	在对战中获的很多胜利时，名誉自然会上升。而随著名誉的上升，可以获得各种的号称。
IDS_CLIENT_HELP_INC_000620	公会战斗中心
IDS_CLIENT_HELP_INC_000621	公会大战及1:1公会大战参加申请，还有可以进行大战的地方。只有1伺服器可以使用。
IDS_CLIENT_HELP_INC_000622	其他事项
IDS_CLIENT_HELP_INC_000623	若有其他询问事项，请到『www.omg.com.tw』做线上问题回报。祝您FLY FOR FUN!!
IDS_CLIENT_HELP_INC_000624	美容商店
IDS_CLIENT_HELP_INC_000625	可以变换头发样式和头发颜色。改变头发样式和颜色时，需支付相当的金币。
IDS_CLIENT_HELP_INC_000626	个人商店
IDS_CLIENT_HELP_INC_000627	可以将自己拥有的物品，贩卖给其他的玩家。您可以替自己想要贩卖的物品定下适当的价格与数量后，放入个人商店中贩售。
IDS_CLIENT_HELP_INC_000628	按『R』键即可开启个人商店的视窗。
IDS_CLIENT_HELP_INC_000629	从物品栏中选择要贩卖的物品后，拖曳至个人商店视窗中。
IDS_CLIENT_HELP_INC_000630	拖曳后，会出现一个设定价格与数量的视窗。
IDS_CLIENT_HELP_INC_000631	设定完贩卖的商品后，输入个人商店的名称，并按下OK键即可完成。
IDS_CLIENT_HELP_INC_000632	成立公会
IDS_CLIENT_HELP_INC_000633	成立公会必须到达40级以上之后，到圣音特找城镇服务员海莲娜接受成立公会的任务后，将相关的任务全部完成，即可成立工会，自己的队友也会变成公会成员。
IDS_CLIENT_HELP_INC_000634	公会成长
IDS_CLIENT_HELP_INC_000635	需要有贡献度和贡献金币。而这必须由全公会的成员一起利用公会仓库来支援所需之物品，才能让公会快速的成长。供献度和供献金币达一定数值后，就会提升公会的等级。
IDS_CLIENT_HELP_INC_000636	加入公会
IDS_CLIENT_HELP_INC_000637	要加入刚成立的公会，必须要得到公会会长的同意。之后会长可分派权限给公会成员，并由其他成员邀请他人入会。招募成员与组队的方式相同。
IDS_CLIENT_HELP_INC_000638	公会解散
IDS_CLIENT_HELP_INC_000639	公会视窗上的『Dismiss』按钮，就是解散公会时用到的按钮。解散公会的2天后才可成立新公会。
IDS_CLIENT_HELP_INC_000640	成员管理
